Project Name,Description,Country,Country Code,Standard Version,Project Developer,Scale,Type,Crediting Period,Status,Methodology,Annual Estimated Credits,GS ID,POA GS ID,Document URL
Solar Power for Rural Villages in Madagascar,"The “Solar Power for Rural Villages in Madagascar” project will facilitate access to clean and affordable energy in rural communities in 17 regions of Madagascar with the installation and operation of solar-PV power plants in combination with battery energy storage systems and a smart meter network. The mini-grid networks will supply the villages with 24h/7 availability.
With the introduction of clean Solar-PV electricity for households in rural villages without national/ regional grid connection, the project will replace the use of conventional energy sources that rely on non-renewable biomass.",Madagascar,MG,Gold Standard for the Global Goals,Tsanta Rabekoto,Micro scale,Solar Thermal - Electricity,2024-04-01 - 2029-03-31,LISTED,AMS-I.L. Electrification of rural communities using renewable energy,8163,N/A,N/A,https://platform.sustain-cert.com/public-project/3626
Solar cooking in Chad Touloum VPA2,"Since 2003, the war in Darfur has led to the influx of over 230,000 refugees into eastern Chad. These refugees are divided across 12 camps in the Wadi Fira region that borders Sudan. Chad is highly dependent on biomass as an energy source. Natural resources such as water and firewood are increasingly rare, causing tension between host communities and refugees. As a result, refugees must travel increasingly large distances to collect firewood. This is a high-risk activity, as many women are subject to sexual and gender-based violence. The project aims to address this issue and meet basic domestic energy needs through the distribution of solar cookers in the refugee camps to reduce dependency on biomass for cooking. The project also aims to build local capacity for manufacturing and repairing solar cookers, raise awareness, hold cooking demonstrations, and provide training on proper use and maintenance to beneficiaries.",Chad,TD,Gold Standard for the Global Goals,FairClimateFund,Micro scale,Solar Thermal - Heat,2022-02-21 - 2027-02-20,GOLD_STANDARD_CERTIFIED_DESIGN,GS MS Simplified Methodology for Efficient Cookstoves v1.1,9818,1075,1610,https://platform.sustain-cert.com/public-project/3258
SMG Clean Cooking Program,"The main purpose of this project activity is to enhance the livelihood of rural and tribal communities in the project area by providing them with improved cook stoves, employment opportunities, and increasing awareness on both climate changes and negative impact of GHG emissions. Through this community-engaging project, the CME plans to introduce and teach clean cooking practices, reduce Indoor Air Pollution caused due to mud stoves, thereby lowering health risks amongst rural and tribal households.
",India,IN,Gold Standard for the Global Goals,SHRI MAA MARKETING PRIVATE LIMITED,Large Scale,Energy Efficiency - Domestic,2023-01-01 - 2027-12-31,LISTED,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,58634,N/A,N/A,https://platform.sustain-cert.com/public-project/3593
SMG Clean Cooking Program VPA01,"The main purpose of this project activity is to enhance the livelihood of rural and tribal communities in the project area by providing them with improved cook stoves, employment opportunities, and increasing awareness on both climate changes and negative impact of GHG emissions. Through this community-engaging project, the CME plans to introduce and teach clean cooking practices, reduce Indoor Air Pollution caused due to mud stoves, thereby lowering health risks amongst rural and tribal households.",India,IN,Gold Standard for the Global Goals,SHRI MAA MARKETING PRIVATE LIMITED,Large Scale,Energy Efficiency - Domestic,2023-01-01 - 2027-12-31,LISTED,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,58634,12346,4300,https://platform.sustain-cert.com/public-project/3594
Maji Bora Multi Country Small Scale Safe Water Supply Programme of Activities PoA,"This multi-country small-scale POA aims to provide safe water to the communities by restoring broken and unfunctional boreholes, solarizing existing boreholes, and implementing new solar boreholes. By avoiding the burning of firewood for boiling unsafe water for consumption purposes, the project's objectives include cutting down emissions and improving the overall quality of life, health, and socio-economic status of the beneficiaries. The project targets remote areas and communities with acute water scarcity while promoting gender equality and women's empowerment. ",Kenya,KE,Gold Standard for the Global Goals,First Climate Markets AG,Small Scale,Energy Efficiency - Domestic,2023-10-01 - 2028-10-01,LISTED,GS Methodology for emission reductions from safe drinking water supply,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/3592
Safe Water Supply in Turkana County,"The main objective of the “Safe Water Supply in Turkana County”  VPA is to rehabilitate broken, non-functioning boreholes, install new solar-powered pumps, solarise boreholes, and conduct ongoing maintenance and repair for the project’s lifetime to eliminate the need for long-distance travel to collect water from unsafe natural sources. The VPA will cut down emissions and also improve the overall quality of life, health, and socio-economic status of the beneficiaries in the water-stressed region of Kenya. ",Kenya,KE,Gold Standard for the Global Goals,First Climate Markets AG,Small Scale,Energy Efficiency - Domestic,2023-10-01 - 2028-10-01,LISTED,GS Methodology for emission reductions from safe drinking water supply,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/3601
Energo Trust,This project is 50 MW wind power project. The main purpose of this project activity is to generate clean form of electricity through renewable energy sources. The project activity involves installations of 10 wind turbines with a unit capacity of 5.0 MW.,Kazakhstan,KZ,Gold Standard for the Global Goals,EKI Energy Services Limited,Large Scale,Wind,2023-06-15 - 2028-06-15,LISTED,ACM0002 Grid-connected electricity generation from renewable sources,204984,N/A,N/A,https://platform.sustain-cert.com/public-project/3489
Reducing 3 000 000 tons of CO2 emissions over a span of 15 years by increasing the efficiency of the exploitation and use of geothermal waters in Călimănești Căciulata Vâlcea county Romania,"The proposed activity is a first of its kind greenfield project for the utilisation of Călimănești - Căciulata geothermal water resources to produce heat and electricity through a high efficiency cogeneration system. The aim of this investment is to ensure green energy development while protecting the environment and fostering sustainable agriculture and tourism in the region. It is a nature-based solution project that utilizes renewable water resources and contributes to six of the United Nations Sustainable Development Goals, SDG 4 - Quality education, SDG 5 - Gender equality, SDG 7 - Affordable and clean energy, SDG 8 - Decent work and economic growth, SDG 9 - Industry, innovation and infrastructure, and SDG 13 - Climate action. Upon successfully finalizing its Gold Standard certification, Green Tech International is aiming to receive carbon credits in an equal amount with the certified CO2 emissions reductions achieved by the project activities. The total GHG emission reductions for the 15 years crediting period (2024-2039) are estimated at 3,000,000 tCO2e, and the annual average GHG emission estimation is around 200,000 tCO2e.
",Romania,RO,Gold Standard for the Global Goals,Green Tech International SA,Small Scale,Energy Efficiency - Commercial Sector,2024-10-02 - 2029-10-02,LISTED,AMS-I.C. Thermal energy production with or without electricity,204761,N/A,N/A,https://platform.sustain-cert.com/public-project/3477
GS2295 GS1729 Myanmar Stoves Campaign Soneva in Myanmar VPA No 027,"The purpose of this micro-scale VPA is the use of carbon finance to support the distribution and maintenance of domestic and non-domestic Fuel Efficient Stoves (""FES"") through local Implementation Partners (""IP"") in Myanmar.",Myanmar,MM,Gold Standard for the Global Goals,Soneva Foundation,Micro scale,Energy Efficiency - Domestic,2023-09-20 - 2028-09-20,GOLD_STANDARD_CERTIFIED_DESIGN,GS MS Simplified Methodology for Efficient Cookstoves v1.,10000,1729,1498,https://platform.sustain-cert.com/public-project/3620
Better Cooking for a better Health in Northern Cameroon,"The project aims at distributing 100 000 fixed improved cookstoves to eligible households in the districts of Northern Cameroon (Adamawa, North and Far North) over the next 2 years. Those single-pot cookstoves will be built in-situ into domestic kitchens. 

Kiasi Energies will disseminate fixed Improved Cookstove (ICS) in Cameroon that will drastically increase community access to clean cooking solutions by providing, installing, and maintaining energy efficient and smoke reducing cookstoves. These improved cookstoves will be distributed for free. The aim of the project is to reduce the emissions of greenhouse gases incurred by high wood consuming cooking practices. Indeed, in Northern Cameroon, a large part of the population is still cooking with a three-stone fire. However, fewer and fewer wood resources are available in this region, making it costly and time consuming to find wood for the households. 

The distribution of these stoves directly improves energy access and reduces wood fuel consumption, thus slowing down deforestation. It is expected to prevent the emission of 245 000 t of CO2eq per year, on average. 
It also benefits the local population with several other socio-economic matters addressed by the Sustainable Development Goals of the United Nations, such as improved health for the households, gender equality, reduced poverty, and others.",Cameroon,CM,Gold Standard for the Global Goals,KIASI ENERGIES,Large Scale,Energy Efficiency - Domestic,2023-07-14 - 2024-07-13,LISTED,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,245000,N/A,N/A,https://platform.sustain-cert.com/public-project/3457
GS12362 VPA 01 Safe Water Drinking Programme in Maharashtra,"The goal of the proposed VPA is the installation of water treatment systems to provide safe drinking water to the individual households in Chandrapur district in Maharashtra. The VPA will use carbon finance to sustain the project with continuous and effective operation and maintenance of these systems with dedicated manpower and auxiliary resources.

VPA involves the installation of Electro-chlorination water treatment systems that treat water at a central point to obtain safe water. The electro-chlorination water treatment devices installed under the proposed VPA will reduce GHG emissions by reducing or replacing the use of non-renewable biomass / fossil fuel which would have been used for boiling water to purify it for drinking purposes.",India,IN,Gold Standard for the Global Goals,RITE WATER SOLUTIONS (INDIA) PRIVATE LIMITED,Small Scale,Energy Efficiency - Domestic,2023-04-10 - 2028-04-09,LISTED,GS Methodology for emission reductions from safe drinking water supply,42122,12362,4291,https://platform.sustain-cert.com/public-project/3610
